address	serial	pubkey	sku	denomination	batch	coin_batch_number	created_at	status	pubkey_2fa	txid
1LDWuVoyoa8RZoqr7VY3svTjUuDzQg8VVn	L144		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1NCJ9toBPpcmXVqQqnnYc8NAYHrrBVoMwz	L145		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
18rXoKkmFbsfbgXiwinBSQVaRu3XCXxd2k	L146		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1N3iDhSC5ghWQ6E6tPkv3ETbtmbXFGLH5y	L147		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1KnYc3ZR6s57mXWPeF3QANiRJCnZgF89H	L148		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1E7Led3nXyCXNSzY3jSLr2R1SXbNBLSopz	L149		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1GLPtE5BxKjedj4WsGaR28Eb8VmRCjqvxp	L150		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1K1uiQ9p2L1hgwc3U5DPnkUYjgRPZrk9hE	L151		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
13ZBfPpYH8jkv3H1Y2Xcp9a3HAkCvDFHaa	L152		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1Jz9cfEmgjgbSxAGJuNJbLsfmEnHCgCMYE	L153		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1JsmeiKdzCFQqi26vrDSH3UKWif2FK8BMr	L154		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1NM9JAfohsEWU9BcgUZ1uA2D4ByAypKyai	L155		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1HyhyCycwMctWETwPUbp485R8P57uicjnZ	L156		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1LeETfLkepUkheKdRCPjHttRTPGPUER7o6	L157		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1JRaCGkcq4cL75NhBCWStaLapUQQEJHWzw	L158		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
1C4yHo2yWq6eqAG488gLohRUTUj8H7gBAb	L159		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
15qDEdLTWKq6VWQzksoLYAxRSRMPBupEXA	L160		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		bcc797416504221eb14ee7e4a79265e58492c60c83a6b3bb9bbe48ead768aed7
18PNzhNzGDgD8cgFUTmZEvWz9ChNochBwb	L161		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
1LaXKphZ2jxQwMLY81tiM5Eqx31H57ZqyG	L162		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
1wNFNEJZbAKJBX1gxJkJgr3tRTar8Fcd6	L163		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
17NQfrSZufMDpjopFhtsQziK3DdQW8a9R8	L164		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
13Ciq4M7frQdqbtATYGgJhyFjvejbQKqCN	L165		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
17dF7GqcVRak68KWt98ZgidP9bv4MiutMa	L166		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
1EF2Aw6sp7cthDfQXcVdrDS6yQkLp3F1oZ	L167		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
19TkdM9PdnmsXr9ED1iGsVYZFAoxyCpfcW	L168		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
172wPdXxJinxEWLAdQyL4SzCrHUEtF6NKP	L169		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		d730213bd1c518e3a3432f1c510ada1d76f2f4d33fda25ff853a276d64e450d1
1ETYWZjgguc1xe1adb97PZRFW472BtXQpH	L170		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		c891d0181aa731d04e03b44610c5ef70c8de62022b33b4d91f9cbcc6e0d7293b
1GVrBHU79ESyaNQbDCugwYN6tVL5zPAmKv	L171		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		c891d0181aa731d04e03b44610c5ef70c8de62022b33b4d91f9cbcc6e0d7293b
19CpGEkxVzEB9ggzTDQxVMcHqAe1tHUVCm	L172		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		c891d0181aa731d04e03b44610c5ef70c8de62022b33b4d91f9cbcc6e0d7293b
1LeB4ExLuTHahCeyaq5pZCjxsiTzhxhYf5	L173		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		c891d0181aa731d04e03b44610c5ef70c8de62022b33b4d91f9cbcc6e0d7293b
1Pkhjfth8zuXb4PqaD88objwtvGcogAAmk	L174		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		c891d0181aa731d04e03b44610c5ef70c8de62022b33b4d91f9cbcc6e0d7293b
1Nd3pHru7PA1KWkBkavvJxkyDrNxFYVe2k	L175		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		10ee5e1ddc768e57f11c8d3f944fa5b3418fa5e35c661661b785e002dadf7654
12S5oVqEg41Z9rX3P2TdCwMhNJqhDNeC5v	L176		F0108	0.1	2015-06-13-1		2015-07-01 06:59:31	complete		1a2893f320f74d250a3b997fb9db87220f316acb0cf716dc1a7928178814b8fa
